Source Port,Destination Port,Payload,Time Stamp
22,52609,bf47262b581a0bf7eb59c8969acb0a16cd85d99715705a355b15ae85d2f0cdf1eaaac1984e6bd249d19fc3a4ddd121c23a6ed05c,1513009984
22,52609,b49d77b0b25a309e7358fdfc9444080b94f79893ecd4a2cf4c5856aae74238568319c18549c3c7d2719d93e8ed287fa02ed0e7154672756ab0c85ea43b75b5036edd3334202cf8cbe072e299f40cf0f8b2469a877982a112af05581cfa6b13360c3ffa1bafb3f1d6e2803113a57fa585f8a71bffbcdb0f179c10b83726f45ab57980925f,1513009984
52609,22,,1513009984
22,52609,f7ccbd7eafee4c0686146218ce67bb89c25244a5f8cd85ba78e51c1fdc11e9746afeed686a3442843483f4657dc3d48c18302d24,1513009985
52609,22,,1513009985
22,52609,8f32c2c42edf78c90321a7d7cc05f3c850729bc2c8ea3ea496f6531911f2067f6b4d6fe93baf76ba96866543f32dee854cb516df,1513009986
52609,22,,1513009986
22,52609,b5948b27ff642643e2dfe148331347e998cc898fc438418fdb68c2515ffc75ea166833acc45778c5a7e15a3d73a853c72c7598a8,1513009987
52609,22,,1513009987
22,52609,d544e1aa35d723be495a06ced0e6454a7c0c1568b38b3e3738d500a607742dd07e53b9901f17d7cf8cb7bba474f09d7d2856efed,1513009988
52609,22,,1513009988
22,52609,95fb10db62c6c1f0fd16a3190d467cd94237c7cf02bf6100a94679adc4cff111d5063de9a881c0d60fb487b778870b29869ac047,1513009989
52609,22,,1513009989
22,52609,eecb5644684c246c2ec3632bcea1892305c21d0e18dc41c88d3ea673a78146aa5dc7bb21fca4f39acb55c79c85f68f131cf3b754,1513009990
52609,22,,1513009990
22,52609,f9db8978e357c46a896132722cf60223dc4c17a17a6ecbe3f06bb763d16eb4e131f396f4b604aa03ca25b539621bd1124e2acc61,1513009991
52609,22,,1513009991
22,52609,ffa829c1d8dd445de16aabdc47f8323cdcff087c37e2f0b361c638106ac17681242520e353faad6e45ff48d95ac3ce26b4f43fe1,1513009992
